id,exercise_id,name,default_equipment,available_equipment,exercise_types,primary_muscles,secondary_muscles,body_parts,starting_weight_lbs,starting_weight_kg,default_warmup_weight,description,instructions,tips,video_url,image_url_small,image_url_large,has_custom_image,difficulty_level,safety_rating,is_compound,is_unilateral,requires_spotter,is_active,created_at,updated_at
0ae13a81-2cd2-4494-b48e-48507d3b7430,dumbbell_shoulder_press,Dumbbell Shoulder Press,dumbbell,"[""dumbbell"",""kettlebell""]","[""push"",""upper""]","[""anterior_deltoid"",""triceps""]","[""posterior_deltoid"",""core""]","[""upper_body""]",30.00,14.00,20.00,"## Setup
1. Sit or stand with dumbbells at shoulder height
2. Palms facing forward
3. Core engaged
4. Elbows under wrists

## Execution
1. Press dumbbells straight overhead
2. Don't let them drift forward/back
3. Full lockout at top
4. Control the descent

## Tips
- Can be done seated or standing
- Independent arm movement
- Keep core tight throughout
- Don't arch back excessively",,,,,,false,3,2,true,false,false,true,2025-08-15 18:12:56.329979+00,2025-08-15 18:12:56.329979+00
0c7644b7-a808-4d9b-87c3-f65cac965606,dumbbell_bench_press,Dumbbell Bench Press,dumbbell,"[""dumbbell""]","[""push"",""upper""]","[""chest"",""triceps"",""anterior_deltoid""]","[""core""]","[""upper_body""]",60.00,27.00,25.00,"## Setup
1. Lie on bench with dumbbell in each hand
2. Start with weights at chest level
3. Feet flat on floor
4. Maintain natural arch

## Execution
1. Press dumbbells up and slightly together
2. Full range of motion
3. Control the descent
4. Feel stretch at bottom

## Tips
- Greater range of motion than barbell
- Can adjust grip angle for comfort
- Independent arm movement
- Control both dumbbells equally",,,,,,false,3,2,true,false,false,true,2025-08-15 18:12:56.329979+00,2025-08-15 18:12:56.329979+00
10a8cbe7-dd15-4192-b74b-c60e148e9f05,front_squat,Front Squat,barbell,"[""barbell"",""dumbbell""]","[""push"",""lower"",""quad""]","[""quadriceps"",""glutes""]","[""core"",""erector_spinae"",""anterior_deltoid""]","[""lower_body""]",115.00,50.00,45.00,"## Setup
1. Rest bar on front delts and collar bones
2. Cross arms or use clean grip
3. Keep elbows high
4. Feet shoulder-width apart

## Execution
1. Descend while keeping chest up
2. Elbows stay high throughout
3. Full depth squat
4. Drive up through heels

## Tips
- Requires good thoracic mobility
- Keep elbows as high as possible
- More quad-dominant than back squat
- Lighter weight than back squat",,,,,,false,5,3,true,false,false,true,2025-08-15 18:12:56.329979+00,2025-08-15 18:12:56.329979+00
12d87628-e0bf-4657-bfe5-1c84c44d1395,dumbbell_row,Dumbbell Row,dumbbell,"[""dumbbell"",""cable""]","[""pull"",""upper""]","[""lats"",""rhomboids"",""posterior_deltoid""]","[""biceps"",""traps""]","[""upper_body""]",40.00,18.00,25.00,"## Setup
1. Place one knee and hand on bench
2. Hold dumbbell in opposite hand
3. Keep back flat and core engaged
4. Let arm hang naturally

## Execution
1. Pull dumbbell to hip/lower chest
2. Squeeze shoulder blade back
3. Feel lat engagement
4. Lower with control

## Tips
- Don't rotate torso
- Pull elbow back, not just hand
- Focus on lat contraction
- Keep supporting arm straight",,,,,,false,3,2,false,false,false,true,2025-08-15 18:12:56.329979+00,2025-08-15 18:12:56.329979+00
135cf9b6-985e-4539-8359-322f2ec3702e,hip_thrust,Hip Thrust,barbell,"[""barbell"",""dumbbell"",""bodyweight""]","[""push"",""lower"",""glutes""]","[""glutes""]","[""hamstrings"",""core""]","[""lower_body""]",95.00,42.50,45.00,"## Setup
1. Sit with upper back against bench
2. Place barbell over hips (use pad if needed)
3. Feet flat on floor, knees bent
4. Keep core engaged

## Execution
1. Drive through heels to lift hips up
2. Squeeze glutes at top
3. Form straight line from knees to shoulders
4. Lower hips back to starting position

## Tips
- Focus on glute squeeze at top
- Don't arch back excessively
- Keep knees aligned with toes
- Pause at top for maximum glute activation",,,,,,false,3,2,false,false,false,true,2025-08-15 17:52:45.251919+00,2025-08-15 18:12:56.329979+00
13fb06eb-9af9-40e6-b2fa-c25069af1482,romanian_deadlift,Romanian Deadlift,barbell,"[""barbell"",""dumbbell"",""kettlebell""]","[""pull"",""lower"",""posterior""]","[""hamstrings"",""glutes"",""erector_spinae""]","[""core"",""forearms"",""traps""]","[""lower_body""]",95.00,42.50,45.00,"## Setup
1. Hold bar with overhand grip
2. Stand tall, feet hip-width apart
3. Slight bend in knees
4. Shoulders back and down

## Execution
1. Push hips back, lower bar
2. Keep bar close to legs
3. Feel stretch in hamstrings
4. Drive hips forward to return

## Tips
- This is a hip hinge, not squat
- Go only as low as flexibility allows
- Keep chest up, back flat
- Focus on hamstring stretch",,,,,,false,3,2,true,false,false,true,2025-08-15 17:52:45.251919+00,2025-08-15 18:12:56.329979+00
26f1b980-d4bc-4537-b2ae-3ac61f7f0eb3,goblet_squat,Goblet Squat,dumbbell,"[""dumbbell"",""kettlebell""]","[""push"",""lower""]","[""quadriceps"",""glutes""]","[""core"",""hamstrings""]","[""lower_body""]",30.00,14.00,20.00,"## Setup
1. Hold dumbbell at chest level
2. Elbows pointing down
3. Feet shoulder-width apart
4. Toes slightly out

## Execution
1. Squat down keeping chest up
2. Knees track over toes
3. Full depth if possible
4. Drive through heels to stand

## Tips
- Great for learning squat pattern
- Weight helps with balance
- Keep elbows inside knees at bottom
- Good for beginners",,,,,,false,2,1,true,false,false,true,2025-08-15 18:12:56.329979+00,2025-08-15 18:12:56.329979+00
29af43c9-11cb-441c-9f9e-b90b9650a0c9,kettlebell_swing,Kettlebell Swing,kettlebell,"[""kettlebell"",""dumbbell""]","[""pull"",""cardio"",""posterior""]","[""glutes"",""hamstrings""]","[""core"",""shoulders"",""erector_spinae""]","[""full_body""]",35.00,16.00,25.00,"## Setup
1. Stand with feet wider than hips
2. Hold kettlebell with both hands
3. Hinge at hips, chest up
4. Let bell hang between legs

## Execution
1. Drive hips forward explosively
2. Bell swings to shoulder height
3. Let gravity bring it down
4. Absorb with hip hinge

## Tips
- Power comes from hips, not arms
- Keep arms relaxed
- Don't squat, hinge at hips
- Squeeze glutes at top",,,,,,false,3,2,true,false,false,true,2025-08-15 17:52:45.251919+00,2025-08-15 18:12:56.329979+00
2bb8e289-098d-4ab2-bbee-0123f13e313f,dip,Dip,dip_bar,"[""dip_bar"",""bodyweight""]","[""push"",""upper""]","[""triceps"",""chest""]","[""anterior_deltoid""]","[""upper_body""]",,,,"## Setup
1. Support body on parallel bars
2. Arms straight, shoulders over wrists
3. Legs can be bent or straight
4. Core engaged

## Execution
1. Lower body until shoulders below elbows
2. Keep elbows close to body
3. Press back to starting position
4. Full lockout at top

## Tips
- Don't go too low if shoulders are tight
- Lean forward for more chest emphasis
- Stay upright for more triceps
- Control the descent",,,,,,false,4,3,true,false,false,true,2025-08-15 18:12:56.329979+00,2025-08-15 18:12:56.329979+00
31b34aad-bcd4-435c-9eca-9939ad7fd842,plank,Plank,bodyweight,"[""bodyweight""]","[""core""]","[""abs"",""core""]","[""shoulders"",""glutes""]","[""core""]",,,,"## Setup
1. Start in push-up position on forearms
2. Body in straight line
3. Core and glutes engaged
4. Look down to maintain neutral neck

## Execution
1. Hold position for prescribed time
2. Breathe normally
3. Keep hips level
4. Maintain body alignment

## Tips
- Quality over duration
- Don't hold breath
- Progress time gradually
- Try variations for challenge",,,,,,false,2,1,false,false,false,true,2025-08-15 13:38:39.68442+00,2025-08-15 18:12:56.329979+00
